,Diplome,Entreprise,Experience,Technologies,Ville,Metier
1526,bachelor,Massachusetts General Hospital(MGH),5.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lyon,0
8750,msc,Beth Israel Deaconess Medical Center,2.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,2
6900,msc,Civis Analytics,2.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
3954,master,Burns & McDonnell,3.0,"['C', 'C++', 'Java', 'Python']",Paris,0
2746,bachelor,Ball Aerospace,2.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Paris,3
8263,phd,Google,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lyon,2
1299,phd,National Instruments,1.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Rennes,0
5151,master,Vertex Pharmaceuticals,7.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Marseille,3
2949,bsc,Kessler Foundation,7.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Toulouse,2
3681,phd,Merkle Inc.,3.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
7227,bsc,RCG Holdings LLC,0.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
7422,master,Facebook,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Lyon,2
2260,no diploma,Ball Aerospace,9.0,"['Python', 'Pyspark', 'Spark']",Rennes,1
3943,phd,DoSomething.org,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Marseille,2
2351,phd,Amazon.com,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Lille,2
6830,bachelor,Broad Institute,0.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,2
5920,phd,University of Texas at Austin,1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Paris,2
4677,bachelor,Ball Aerospace,1.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Rouen,2
8842,bachelor,Schireson,6.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Marseille,0
6165,phd,JD.com,3.0,"['C', 'C++', 'Java', 'Python']",Strasbourg,2
3655,phd,The Coca-Cola Company,3.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,2
6443,no diploma,Tempus,4.0,"['Spark', 'Python']",Marseille,0
2262,master,Ball Aerospace,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Marseille,2
8739,phd,Alnylam,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Bordeaux,2
4425,phd,Autodesk,6.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
2615,master,Cotiviti,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Toulouse,1
2224,master,B3 Group Inc,4.0,"['Python', 'AWS', 'Docker']",Lyon,0
536,phd,HubSpot,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Lille,2
3646,bachelor,Emory University,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Lyon,0
1114,bachelor,KPMG,0.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Toulon,1
4194,phd,Amazon.com,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Lille,2
6906,master,Ball Aerospace,3.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Toulouse,2
347,no diploma,Zynga,2.0,"['Linux', 'Python', 'Hadoop', 'Perl', 'Ruby']",Lyon,1
5235,no diploma,Ball Aerospace,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Marseille,2
3378,master,G2S Corporation,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Marseille,2
8399,msc,ALS TDI,0.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
9321,no diploma,Exponent,0.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Marseille,0
4398,msc,KPMG,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Bordeaux,3
29,master,Central Intelligence Agency,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
8831,msc,Etiometry,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,3
2831,bachelor,Ball Aerospace,1.0,"['C', 'C++', 'Java', 'Python']",Marseille,2
5787,master,Ball Aerospace,0.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Rouen,2
8582,bsc,Ball Aerospace,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,3
2580,phd,Boston University,2.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Rennes,2
2501,phd,Cedars-Sinai,2.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Grenoble,2
6084,no diploma,Liberty Healthcare Corporation,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Paris,0
2873,master,McKinsey & Company,1.0,"['Python', 'Java', 'Linux', 'GNU']",Lyon,1
4304,master,Central Intelligence Agency,3.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Lyon,0
263,msc,Vertex Pharmaceuticals,7.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Paris,2
8452,master,ERPi,1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Nantes,2
6746,master,Ball Aerospace,0.0,"['Python', 'AWS', 'Docker']",Lille,0
5996,bsc,QuantumBlack,1.0,"['Python', 'Pyspark', 'Spark']",Toulouse,1
2131,master,Citi,3.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Marseille,2
2285,master,Commonwealth of Massachusetts,4.0,"['Python', 'Java', 'Linux', 'GNU']",Marseille,1
6487,phd,Ball Aerospace,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulouse,3
6025,msc,Ball Aerospace,2.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Marseille,1
6627,bsc,Ball Aerospace,0.0,"['Python', 'Tensorflow', 'R', 'Big data']",Toulouse,2
3975,bachelor,TetraScience,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Strasbourg,2
3311,phd,Capgemini,7.0,"['Elasticsearch', 'Kibana', 'Redshift']",Marseille,0
9272,phd,Ball Aerospace,0.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Nantes,2
5987,phd,The Home Depot,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Toulouse,2
7668,no diploma,Resource Technology Partners,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Rennes,3
7722,master,Ball Aerospace,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Marseille,2
5843,master,Ball Aerospace,2.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Nice,3
2712,bachelor,Ball Aerospace,1.0,"['Java', 'Python', 'Linux']",Paris,0
4816,msc,Soroco,4.0,"['MongoDB', 'SQL', 'Docker']",Lille,0
4475,bsc,Ball Aerospace,3.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Paris,1
6409,phd,Emory University,1.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Marseille,3
3615,msc,AbbVie,4.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Toulouse,0
9521,phd,The Boston Consulting Group,0.0,"['SQL', 'R', 'Python', '', 'Big data']",Strasbourg,2
202,no diploma,Georgia Tech Research Institute,5.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Lyon,0
2734,master,Harnham,3.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Marseille,1
298,master,Ball Aerospace,2.0,"['Python', 'Java', 'Linux', 'GNU']",Nantes,1
6814,bachelor,Shire Pharmaceuticals,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Bordeaux,2
8008,phd,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",0.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Lyon,1
6643,phd,Dealmoon,2.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Marseille,2
3558,msc,Honey,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
5617,phd,Ball Aerospace,0.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Paris,2
5428,master,"Advanced Micro Devices, Inc.",0.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Toulouse,2
8584,master,CITIZENS BANK,3.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Rennes,1
4852,master,Ball Aerospace,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Marseille,2
7976,phd,"Advanced Micro Devices, Inc.",0.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
7703,master,"ArcherDX, INC.",6.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Bordeaux,0
4140,master,Ball Aerospace,5.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Bordeaux,3
210,master,OM Partners,3.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
7014,msc,Jacobs,3.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Lyon,1
5461,master,Ball Aerospace,4.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Lyon,0
6876,phd,"Advanced Micro Devices, Inc.",1.0,"['Python', 'Spark', 'GNU', 'Linux']",Rennes,1
5155,msc,Ball Aerospace,0.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Lille,2
2345,msc,Brokerage Consultants Inc.,3.0,"['Python', 'Spark', 'GNU', 'Linux']",Lyon,1
1153,master,Ball Aerospace,3.0,"['Java', 'Python', 'Linux']",Lille,0
6296,master,BAIN & COMPANY,3.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Toulouse,2
2693,master,Liberty Mutual,0.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Paris,2
8951,msc,Smith Hanley Associates,1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Paris,2
3992,bachelor,Georgia Tech Research Institute,1.0,"['Python', 'AWS', 'Docker']",Strasbourg,0
1800,master,Ball Aerospace,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
9344,bachelor,General Electric,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Bordeaux,3
1143,no diploma,Ball Aerospace,5.0,"['Java', 'Python', 'Linux']",Paris,0
7573,no diploma,Legislative Budget Board,2.0,"['Spark', 'Python', 'Scala']",Rouen,1
8654,master,McKinsey & Company,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,3
5228,bachelor,Ball Aerospace,2.0,"['Excel', 'VBA', 'R']",Bordeaux,2
3353,msc,Ball Aerospace,6.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Marseille,0
2917,master,Georgia Tech Research Institute,3.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Toulon,1
5784,master,AIR Worldwide,2.0,"['Java', 'C', 'C++', 'R', 'Python']",Marseille,2
1161,bsc,Zoomdata,1.0,"['Spark', 'Python', 'Scala']",Paris,1
137,master,University of Texas at Austin,2.0,"['Spark', 'Python', 'Scala']",Rouen,1
4585,bachelor,Ball Aerospace,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulouse,3
2797,no diploma,Darwin Recruitment,6.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Rennes,1
863,master,Ball Aerospace,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Rennes,1
4787,bachelor,Mathematica Policy Research,0.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Toulouse,2
4018,no diploma,Amazon.com,3.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Marseille,0
8725,no diploma,Ball Aerospace,3.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Marseille,2
2730,bachelor,ICF,6.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Bordeaux,0
6691,bachelor,SpotHero,1.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
6372,master,Ball Aerospace,7.0,"['Java', 'C', 'C++', 'R', 'Python']",Paris,2
1424,phd,Honeywell,3.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Lyon,1
5480,master,Beth Israel Deaconess Medical Center,2.0,"['R', 'Python', 'SQL', 'Teradata', 'Big data']",Nantes,3
4050,phd,Lab126,1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Toulon,2
6338,master,Alnylam,1.0,"['Excel', 'VBA', 'R']",Toulouse,2
5194,no diploma,Jacobs,1.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Lyon,1
1411,phd,Ball Aerospace,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulouse,2
1438,master,BMO Financial Group,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
5741,master,Ball Aerospace,1.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Toulon,2
1413,master,University of Colorado,1.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Paris,1
7962,msc,Department of Homeland Security,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Paris,2
4346,no diploma,Vertex,7.0,"['Spark', 'Python', 'Scala']",Marseille,1
2767,master,Facebook,0.0,"['R', 'Python', 'SQL', 'Teradata', 'Big data']",Paris,2
8528,phd,EY,6.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Marseille,3
1547,phd,Biogen,2.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Toulouse,2
6204,master,Bank of America,0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lyon,1
8064,master,Harnham,0.0,"['Elasticsearch', 'Kibana', 'Redshift']",Nice,0
4826,master,MedStar Health,0.0,"['R', 'Python', 'SQL', 'Teradata', 'Big data']",Bordeaux,2
308,no diploma,Eagle Medical Services,1.0,"['Python', 'Java', 'Linux', 'GNU']",Strasbourg,1
2108,msc,Arm,2.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Lyon,3
2228,master,Ball Aerospace,2.0,"['Java', 'Linux', 'GNU', 'Docker']",Paris,1
4532,phd,Indigo,3.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Paris,3
4029,bachelor,Ropes & Gray,6.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
1290,phd,Eagle Medical Services,1.0,"['Java', 'Python', 'Linux']",Marseille,0
1605,no diploma,Brigham & Women's Hospital(BWH),1.0,"['Hadoop(HDFS)', 'Elasticsearch']",Rennes,0
5827,phd,Microsoft,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Toulouse,2
6300,phd,DiDi Labs,0.0,"['Excel', 'VBA', 'R']",Paris,2
4074,msc,Payments & Cards Network,0.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
8284,master,"Alexion Pharmaceuticals,Inc.",2.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Toulouse,1
1081,master,Ball Aerospace,1.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Marseille,2
2939,phd,Dana-Farber Cancer Institute,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Rennes,1
214,bachelor,DataRobot,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Paris,1
3042,bachelor,LEWIS,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
3148,master,The University of Chicago,4.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Lyon,0
70,msc,Advanced Sciences and Technologies (AS&T),3.0,"['AWS', 'Python', 'C', 'C++', 'Docker']",Nantes,1
9558,msc,Charles River Analytics,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Toulouse,2
891,phd,Ball Aerospace,2.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Strasbourg,3
1398,phd,Jacobs,3.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
4392,bachelor,The Hexagon Lavish,0.0,"['Spark', 'Python', 'Scala']",Bordeaux,1
1197,bsc,Ball Aerospace,2.0,"['Java', 'C', 'C++', 'R', 'Python']",Paris,2
953,master,Northeastern University,1.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Paris,0
3327,msc,NVIDIA,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Strasbourg,0
8664,master,Prestige Staffing,5.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Paris,1
1722,no diploma,DataRobot,1.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Bordeaux,0
2339,msc,Capital One,6.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Marseille,1
7412,no diploma,Old Mission Capital,3.0,"['Hadoop(HDFS)', 'Elasticsearch']",Marseille,0
7157,msc,KNIME,1.0,"['Spark', 'Python', 'Scala']",Marseille,1
7866,phd,Oscar Insurance,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,2
7084,phd,ICF,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,2
2139,msc,Ball Aerospace,1.0,"['Java', 'Python', 'Linux']",Lyon,0
3736,bachelor,Klein Hersh International,2.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
5462,master,Missing Link Security,2.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Lyon,2
238,bachelor,McKinsey & Company,5.0,"['MongoDB', 'SQL', 'Docker']",Strasbourg,0
7184,master,Guidehouse,2.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Toulouse,0
613,bachelor,The University of Chicago,7.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Grenoble,1
2515,msc,Ball Aerospace,2.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lille,3
6144,phd,Bank of America,0.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Marseille,2
9354,no diploma,Pearson,0.0,"['Python', 'Spark', 'GNU', 'Linux']",Nice,1
7167,master,Code Pilot,5.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Lille,3
6550,master,Uptake,2.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Rouen,2
4635,phd,IBM,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lyon,2
1247,master,The Home Depot,0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Toulouse,1
5857,msc,Cubic Corporation,1.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
6581,bachelor,Ball Aerospace,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Nantes,0
5417,no diploma,IHS Markit,3.0,"['Python', 'Spark', 'GNU', 'Linux']",Toulouse,1
2126,master,"Skadden, Arps, Slate, Meagher & Flom LLP & Affiliates",1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Lille,2
2761,msc,Thermo Fisher Scientific,0.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
7906,bachelor,Vertex Pharmaceuticals,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Marseille,3
8084,msc,Ball Aerospace,1.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Rouen,1
456,master,M.Gemi,6.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Nantes,1
5481,phd,S&P Global Ratings,3.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Marseille,2
8560,master,Ball Aerospace,1.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Rennes,1
2071,master,KPMG,1.0,"['Python', 'Spark', 'GNU', 'Linux']",Toulouse,1
5760,master,Vertex,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Marseille,2
7518,master,BOEING,0.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Strasbourg,0
527,master,Ascent Services Group,4.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
3253,master,Ball Aerospace,7.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Paris,0
2738,phd,IBM,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Paris,2
7342,phd,Smith Hanley Associates,0.0,"['AWS', 'Python', 'C', 'C++', 'Docker']",Strasbourg,1
4534,msc,Robert Half Finance & Accounting,2.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Paris,1
1955,master,Ball Aerospace,5.0,"['Java', 'Linux', 'Docker']",Bordeaux,0
5036,master,Visa,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Paris,1
8411,bachelor,Natera,4.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,2
7718,master,ProClinical,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
2172,master,Ball Aerospace,1.0,"['R', 'machine learning', 'Excel', 'VBA']",Lille,2
